timestamp,user,type,amount,location,location_norm,device,fields_found,dt,amount_value,currency,hour,weekday,day_of_month,month,time_diff_hours,is_new_device,is_new_location,user_amount_median,user_amount_std,amount_z_user,prev_location,anomaly_label,anomaly_score,anomaly_status,explanation
2025-06-02 19:52:44 ,user1000,refund,$3610.68,Cardiff ,cardiff,Huawei P30,,2025-06-02 19:52:44,3610.68,USD,19,0,2,6,24.55,1,1,1491.1,2107.33,1.01,Leeds,1,3610.68,Anomaly,High amount + new location
2025-06-03 10:11:53,user1000,cashout,£4659.06,Birmingham,birmingham,Nokia 3310,,2025-06-03 10:11:53,4659.06,GBP,10,1,3,6,14.32,1,1,2981.21,1928.2,0.87,Cardiff ,1,4659.06,Anomaly,High amount + new location
2025-06-03 21:23:30 ,user1000,cashout,£4063.97,Liverpool ,liverpool,None,,2025-06-03 21:23:30,4063.97,GBP,21,1,3,6,11.19,1,1,3295.94,1998.32,0.38,Birmingham,1,4063.97,Anomaly,High amount + new location
2025-06-05 03:01:00,user1000,cashout,3032.41,Leeds,leeds,Pixel 6,,2025-06-05 03:01:00,3032.41,UNKNOWN,3,3,5,6,10.84,1,1,3295.94,1672.64,-0.16,Birmingham ,1,3032.41,Anomaly,High amount + new location
2025-06-11 01:58:58 ,user1000,deposit,£3443.9,Liverpool ,liverpool,Pixel 6,,2025-06-11 01:58:58,3443.9,GBP,1,2,11,6,4.73,1,1,2110.25,1765.42,0.76,None,1,3443.9,Anomaly,High amount + new location
2025-06-11 17:23:13,user1000,purchase,3451.51,Birmingham,birmingham,Xiaomi Mi 11,,2025-06-11 17:23:13,3451.51,UNKNOWN,17,2,11,6,15.4,1,1,2545.73,1747.07,0.52,Liverpool ,1,3451.51,Anomaly,High amount + new location
2025-06-14 21:24:18 ,user1000,cashout,€3121.69,Birmingham ,birmingham,Huawei P30,,2025-06-14 21:24:18,3121.69,EUR,21,5,14,6,43.46,1,1,2828.84,1673.35,0.18,Glasgow,1,3121.69,Anomaly,High amount + new location
2025-06-18 07:31:05,user1000,deposit,€4537.72,Cardiff,cardiff,None,,2025-06-18 07:31:05,4537.72,EUR,7,2,18,6,82.11,1,1,2981.21,1638.2,0.95,Birmingham ,1,4537.72,Anomaly,High amount + new location
2025-06-21 11:15:04 ,user1000,top-up,€4737.85,Liverpool ,liverpool,None,,2025-06-21 11:15:04,4737.85,EUR,11,5,21,6,20.54,0,1,2828.84,1656.24,1.15,Birmingham,1,4737.85,Anomaly,High amount + new location
2025-06-22 16:54:22,user1000,transfer,3273.93,Leeds,leeds,Nokia 3310,,2025-06-22 16:54:22,3273.93,UNKNOWN,16,6,22,6,2.81,1,1,2676.48,1677.26,0.36,Birmingham,1,3273.93,Anomaly,High amount + new location
